structure_id,landscape_scenario_id,ead_fwoa_year00,ead_fwoa_year01,ead_fwoa_year02,ead_fwoa_year03,ead_fwoa_year04,ead_fwoa_year05,ead_fwoa_year06,ead_fwoa_year07,ead_fwoa_year08,ead_fwoa_year09,ead_fwoa_year10,ead_fwoa_year11,ead_fwoa_year12,ead_fwoa_year13,ead_fwoa_year14,ead_fwoa_year15,ead_fwoa_year16,ead_fwoa_year17,ead_fwoa_year18,ead_fwoa_year19,ead_fwoa_year20,ead_fwoa_year21,ead_fwoa_year22,ead_fwoa_year23,ead_fwoa_year24,ead_fwoa_year25,ead_fwoa_year26,ead_fwoa_year27,ead_fwoa_year28,ead_fwoa_year29,ead_fwoa_year30,ead_fwoa_year31,ead_fwoa_year32,ead_fwoa_year33,ead_fwoa_year34,ead_fwoa_year35,ead_fwoa_year36,ead_fwoa_year37,ead_fwoa_year38,ead_fwoa_year39,ead_fwoa_year40,ead_fwoa_year41,ead_fwoa_year42,ead_fwoa_year43,ead_fwoa_year44,ead_fwoa_year45,ead_fwoa_year46,ead_fwoa_year47,ead_fwoa_year48,ead_fwoa_year49,ead_fwoa_year50
18.0,7.0,17.6779065147812,20.54848376072605,23.4190610066709,26.28963825261575,29.1602154985606,32.03079274450545,34.9013699904503,37.77194723639515,40.64252448234,43.51310172828485,46.3836789742297,52.06569484247443,57.74771071071916,63.42972657896389,69.11174244720863,74.79375831545335,80.47577418369808,86.15779005194281,91.83980592018752,97.52182178843228,103.203837656677,109.9496071859748,116.6953767152726,123.4411462445704,130.1869157738682,136.932685303166,143.6784548324638,150.4242243617616,157.1699938910594,163.9157634203572,170.661532949655,239.6914802182933,308.7214274869316,377.7513747555699,446.7813220242082,515.8112692928464,584.8412165614848,653.8711638301231,722.9011110987614,791.9310583673997,860.961005636038,949.4016540078602,1037.8423023796825,1126.2829507515046,1214.7235991233267,1303.164247495149,1391.6048958669712,1480.0455442387934,1568.4861926106155,1656.926840982438,1745.36748935426
19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425683627587079,0.851367255174158,1.277050882761237,1.702734510348316,2.128418137935395,2.554101765522474,2.979785393109553,3.405469020696632,3.831152648283711,4.25683627587079,6.649368696177271,9.041901116483752,11.434433536790234,13.826965957096714,16.219498377403195,18.61203079770968,21.00456321801616,23.39709563832264,25.78962805862912,28.1821604789356
20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82583988745498,3.65167977490996,5.477519662364941,7.303359549819921,9.1291994372749,10.95503932472988,12.78087921218486,14.60671909963984,16.432558987094822,18.2583988745498
21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408185012761,0.816370025522,1.224555038283,1.632740051044,2.040925063805,2.449110076566,2.857295089327,3.265480102088,3.673665114849,4.08185012761,4.71775901898915,5.3536679103683,5.98957680174745,6.6254856931266,7.26139458450575,7.8973034758849,8.53321236726405,9.1691212586432,9.80503015002235,10.4409390414015
23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98158174043198,1.96316348086396,2.94474522129594,3.92632696172792,4.9079087021599,5.88949044259188,6.87107218302386,7.85265392345584,8.83423566388782,9.8158174043198,11.89531142302524,13.97480544173068,16.05429946043612,18.13379347914156,20.213287497847,22.29278151655244,24.372275535257884,26.451769553963324,28.531263572668763,30.6107575913742,51.57655039204057,72.54234319270695,93.50813599337332,114.47392879403972,135.4397215947061,156.40551439537248,177.37130719603886,198.33709999670523,219.3028927973716,240.268685598038,316.8759924702172,393.4832993423964,470.0906062145756,546.6979130867547,623.305219958934,699.9125268311132,776.5198337032924,853.1271405754716,929.7344474476508,1006.34175431983
24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1848525905865,54.369705181173,81.5545577717595,108.739410362346,135.9242629529325,163.109115543519,190.2939681341055,217.478820724692,244.6636733152785,271.848525905865,370.9957566981925,470.14298749052,569.2902182828475,668.437449075175,767.5846798675025,866.73191065983,965.8791414521576,1065.026372244485,1164.1736030368124,1263.32083382914
25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16210846917903,2.32421693835806,3.48632540753709,4.64843387671612,5.81054234589515,6.97265081507418,8.13475928425321,9.29686775343224,10.45897622261127,11.6210846917903,14.3428660967961,17.0646475018019,19.7864289068077,22.5082103118135,25.2299917168193,27.9517731218251,30.6735545268309,33.3953359318367,36.1171173368425,38.8388987418483
26.0,7.0,2.54095093962096,3.270429805095734,3.999908670570508,4.729387536045282,5.458866401520057,6.18834526699483,6.917824132469605,7.647302997944378,8.376781863419152,9.106260728893924,9.8357395943687,10.26926893587298,10.70279827737726,11.13632761888154,11.56985696038582,12.0033863018901,12.43691564339438,12.87044498489866,13.30397432640294,13.73750366790722,14.1710330094115,20.97564918625806,27.78026536310462,34.58488153995118,41.38949771679774,48.1941138936443,54.99873007049087,61.80334624733742,68.60796242418398,75.41257860103053,82.2171947778771,99.92744373953678,117.63769270119649,135.34794166285616,153.05819062451587,170.76843958617553,188.47868854783525,206.1889375094949,223.89918647115465,241.6094354328143,259.319684394474,285.7213632895081,312.1230421845422,338.5247210795763,364.9263999746104,391.3280788696445,417.7297577646786,444.1314366597127,470.5331155547468,496.9347944497809,523.336473344815
27.0,7.0,0.0,0.8077324903741611,1.615464980748322,2.4231974711224837,3.230929961496644,4.038662451870805,4.846394942244967,5.654127432619127,6.4618599229932885,7.26959241336745,8.07732490374161,8.984601677464909,9.891878451188209,10.799155224911509,11.706431998634804,12.613708772358104,13.520985546081404,14.428262319804702,15.335539093528002,16.242815867251302,17.1500926409746,19.000602897587655,20.85111315420072,22.70162341081378,24.55213366742684,26.4026439240399,28.25315418065296,30.10366443726602,31.95417469387908,33.804684950492145,35.6551952071052,69.14618543292968,102.63717565875416,136.12816588457866,169.61915611040314,203.1101463362276,236.6011365620521,270.09212678787657,303.58311701370104,337.0741072395255,370.56509746535,435.435589100896,500.306080736442,565.176572371988,630.047064007534,694.91755564308,759.788047278626,824.658538914172,889.5290305497181,954.399522185264,1019.27001382081
